Edad;primaria_inferior_hombres_abs;primera_etapa_secundaria_hombres_abs;segunda_etapa_secundaria_hombres_abs;superiores_hombres_abs;primaria_inferior_mujeres_abs;primera_etapa_secundaria_mujeres_abs;segunda_etapa_secundaria_mujeres_abs;superiores_mujeres_abs
15;-85757;-175434;0;0;60970;185499;0;0
16;-48228;-207628;0;0;30185;212175;0;0
17;-33365;-218885;-3444;0;19622;217050;2856;0
18;-25908;-104077;-124080;0;15618;75396;147649;0
19;-19260;-61958;-168362;0;12563;43474;176100;0
20;-15484;-38767;-179716;-15670;10485;27525;177341;18526
21;-16051;-37662;-149614;-50252;10947;26379;126757;72210
22;-17569;-43036;-112634;-74220;12284;29354;89538;103651
23;-16520;-40343;-96172;-90182;11705;27476;70448;120010
24;-21741;-51012;-74315;-100032;15113;33189;57047;131253
25;-23070;-54019;-65071;-103618;16262;34314;50637;135594
26;-22733;-57970;-61104;-107269;15906;37378;49071;137388
27;-22127;-60584;-59689;-110922;16236;39361;48191;141127
28;-20971;-65655;-60190;-115489;15798;42739;49489;146006
29;-20232;-71725;-60060;-117411;15251;47762;50820;148742
30;-19887;-76076;-58963;-114289;15512;49517;50472;146326
31;-24467;-78133;-57933;-111774;19684;51149;51318;145006
32;-26172;-81465;-57789;-110383;22015;53460;52627;144853
33;-26023;-86863;-58836;-108731;22903;56174;54902;144908
34;-26410;-90170;-60606;-106798;23415;59045;57620;142618
35;-26529;-93689;-62962;-106468;24450;61874;60041;144859
36;-24217;-101829;-64190;-109328;23343;67015;60858;149436
37;-23818;-103691;-69011;-114622;23017;68874;64547;155630
38;-23948;-106307;-73671;-118010;23065;70029;68478;160428
39;-24540;-111170;-77785;-126989;23109;73307;73510;169499
40;-24379;-112710;-82358;-136704;23053;74344;77174;178120
41;-25547;-117306;-86648;-144340;23841;77058;80398;187686
42;-25102;-118197;-89635;-151094;23337;78044;82898;194637
43;-25342;-121306;-93439;-161588;23215;80599;85276;204572
44;-25400;-122796;-93840;-165991;22967;80874;84378;208782
45;-25103;-125815;-93587;-169198;22536;84340;84623;213146
46;-25134;-126395;-91670;-168162;22362;87704;83194;207021
47;-25044;-127874;-90059;-163819;22567;91341;82647;201555
48;-24503;-127558;-87684;-156558;22044;94486;81951;189097
49;-25203;-128298;-87907;-151888;22998;99539;83143;180510
50;-25825;-126782;-87548;-145421;25043;102144;84210;168830
51;-27609;-126472;-87274;-137741;26621;105558;84885;158214
52;-27366;-125333;-87119;-132764;26715;108961;85450;150934
53;-28156;-126358;-84970;-127900;27311;112212;86355;143644
54;-28692;-128176;-85255;-125422;28410;116847;87329;139939
58;-31915;-122766;-76819;-104394;33734;117409;83478;112389
57;-32777;-128360;-81876;-111600;34095;120957;86972;123587
56;-30881;-123987;-81310;-115604;31569;115674;85871;127893
55;-29700;-124481;-82661;-120559;30143;113813;86062;132748
59;-31876;-118672;-73184;-98232;35009;117620;80103;103120
60;-33924;-115734;-69702;-93230;38402;117988;75803;95795
61;-36062;-116317;-67338;-91733;42905;122319;72225;91172
62;-36278;-110437;-66170;-88225;44570;120280;69187;84855
63;-36484;-107386;-65186;-82528;46690;119653;66580;78425
64;-36719;-104081;-62504;-78604;49433;117865;63786;72708
65;-37377;-94903;-56843;-71315;52107;109285;57120;64359
66;-39231;-92102;-52912;-66429;55467;106983;53444;58366
67;-39905;-87585;-47465;-61177;58659;102746;47873;52343
68;-42956;-88517;-45043;-58404;63796;103910;44694;47818
69;-46495;-86796;-42488;-55799;69966;101328;41426;44218
70;-45980;-78013;-37648;-51842;72817;92111;36680;39575
71;-47256;-73888;-35087;-48755;76979;86937;33521;36630
72;-51316;-75752;-33693;-47478;88483;87566;31951;34663
73;-57812;-76795;-32675;-46200;102573;86950;29951;32340
74;-54780;-66921;-28444;-41086;98353;75112;26348;28458
75;-54222;-61352;-25236;-37060;100242;67555;23597;25723
76;-60254;-60828;-24196;-35219;111886;66191;22316;23518
77;-59274;-53718;-21763;-32051;109683;58650;20461;21282
78;-60954;-49121;-19733;-29136;112807;53691;18358;19182
79;-53093;-38882;-15794;-24428;97913;42967;15201;16300
80;-50907;-30959;-13643;-21346;92601;35850;13275;14219
81;-66122;-33310;-14308;-21378;120066;39290;14124;13965
82;-43205;-18666;-8375;-12665;80505;23013;9260;9073
83;-48844;-18892;-8469;-12553;90577;24727;9054;8877
84;-54097;-18270;-8159;-11857;101256;24886;9058;8609
85;-55916;-16205;-7915;-11696;107827;24481;9095;8965
86;-51266;-13497;-6736;-10187;100102;21169;8056;7654
87;-46059;-11526;-5865;-8862;93377;18858;7407;7159
88;-42377;-9686;-4982;-7336;89031;16713;6535;6101
89;-37102;-7992;-4082;-6253;79961;14930;6044;5516
90 y más;-120466;-23114;-12248;-19033;322535;53999;23209;21461
